,Date,NH4-T(mg/L),SO4(mg/L),Pb-T(ug/L),PO4-T(mg/L),TOC(mg/L),TP-T(mg/L),Mn-T(mg/L),Fe-T(mg/L),Nox-T(mg/L),DO(mg/L),pH-Field,depth(ft),Station
0,2015-01-22,0.187651,44.0911,,0.0148,2.09,0.0367,0.003944743,0.06215168000000001,0.0085,0.12,7.13,145.0,M-0779
1,2015-04-14,0.181323,1.9158,,0.0249,2.29,0.0283,0.0038908550000000004,0.072209153,0.0131,0.07,7.18,145.0,M-0779
2,2015-07-15,0.17222200000000001,38.6228,,0.0248,1.77,0.0277,0.00360555,0.056511743999999996,0.008,0.12,7.14,145.0,M-0779
3,2015-10-20,0.166495,38.5716,,0.0192,3.02,0.0196,0.0032568740000000003,0.037486999,0.012,0.0,7.14,145.0,M-0779
4,2016-01-21,0.185579,42.8954,,0.0232,1.514,0.0702,0.0035909730000000003,0.051488355,0.0162,0.13,7.14,145.0,M-0779
5,2016-03-31,0.178224,38.409,,0.0236,2.25,0.0215,0.0033296790000000003,0.0277266,0.0151,0.02,7.1,145.0,M-0779
6,2016-07-12,0.18115,40.6581,,0.0192,1.05,0.0243,0.002917424,0.023965659,0.0065,0.09,7.15,145.0,M-0779
7,2016-12-07,0.174788,38.7036,0.0394,0.0206,4.38,0.0181,0.003259514,0.027959648,0.0115,0.12,7.1,145.0,M-0779
8,2017-03-21,0.184117,39.2976,,0.019,3.12,0.0394,0.003633321,0.03983419,0.0122,0.3,7.2,145.0,M-0779
9,2015-01-22,0.31756999999999996,1.3516,,0.0603,2.87,,0.01150671,0.22898310000000002,0.0036,0.12,7.13,69.0,M-0780
10,2015-04-14,0.304103,20.7827,0.212873,0.051,2.5,,0.009392187,0.157511009,0.0096,0.08,7.18,69.0,M-0780
11,2015-07-15,0.274356,1.2012,0.077584,0.0419,1.7,,0.007362894,0.063836672,0.0026,0.07,7.07,69.0,M-0780
12,2015-10-20,0.303221,1.2704,0.061013,0.0262,3.17,,0.007030326,0.057068980000000005,0.0063,0.0,7.13,69.0,M-0780
13,2016-01-21,0.292883,6.8554,0.094947,0.0322,1.635,,0.007299975,0.047255114,0.0055,0.14,7.09,69.0,M-0780
14,2016-03-31,0.28210100000000005,1.2088,0.033411,0.0299,1.94,,0.007327578,0.038362814,0.0063,0.03,7.04,69.0,M-0780
15,2016-07-12,0.286579,1.1159999999999999,0.026233,0.0196,0.65,,0.006873089000000001,0.026181949,0.0017,0.13,7.08,69.0,M-0780
16,2016-12-07,0.285342,0.3423,0.001011,0.0273,6.07,,0.007452394,0.030631404999999997,0.0082,0.13,7.03,69.0,M-0780
17,2017-03-21,0.29370799999999997,0.5439,0.199536,0.0256,4.79,,0.00754122,0.052669741000000006,0.0057,0.2,7.1,69.0,M-0780
18,2015-01-22,0.104706,22.4157,,0.0266,2.28,,0.03606644,1.0949769999999999,0.0009,0.32,6.76,35.0,M-0781
19,2015-04-14,0.099761,328.1327,0.11502799999999999,0.0309,1.25,,0.036555176,1.165535546,0.0077,0.23,6.75,35.0,M-0781
20,2015-07-15,0.091036,16.7755,0.012828999999999998,0.0068,1.95,,0.03678179,1.0615143800000002,0.0002,0.28,6.75,35.0,M-0781
21,2015-10-20,0.09156399999999999,14.0223,0.076584,0.0233,1.76,,0.036602317999999995,1.167738843,0.0176,0.09,6.7,35.0,M-0781
22,2016-01-21,0.10438599999999999,19.0114,0.067797,0.0275,5.67,,0.036659838,1.061951482,0.0074,0.23,6.73,35.0,M-0781
23,2016-03-31,0.093167,13.0652,0.041849000000000004,0.0274,1.06,,0.038741700999999996,1.0709731470000001,0.006999999999999999,0.09,6.67,35.0,M-0781
24,2016-07-12,0.09048400000000001,12.7344,0.300068,0.0411,1.65,,0.039173491,1.4697070980000002,0.0061,0.13,6.74,35.0,M-0781
25,2016-12-07,0.101248,6.6423,0.131552,0.0249,1.286,,0.038194454999999995,1.200755315,0.0085,0.3,6.71,35.0,M-0781
26,2017-03-21,0.10596900000000001,5.5563,0.125681,0.028999999999999998,4.16,,0.032575807,1.030723523,0.0119,0.5,6.8,35.0,M-0781
27,2016-05-05,0.0009289999999999999,14.0535,,,1.33,,0.00015562100000000002,0.005970828,0.5781,0.21,7.5,215.0,M-0789
28,2016-10-24,0.0005200000000000001,16.0989,,,2.95,,0.000841274,0.0035547190000000005,0.5565,,,215.0,M-0789
29,2016-10-24,0.0032170000000000002,15.6303,,,3.68,,0.000612092,0.009077022999999998,0.5675,,,215.0,M-0789
30,2016-10-24,0.0016510000000000001,1.6125,,,3.14,,0.00061016,0.010267061999999999,0.8127,,,215.0,M-0789
31,2016-10-24,0.00042,15.2535,,,3.55,,0.000707032,0.017484583999999997,0.593,,,215.0,M-0789
32,2016-10-24,0.00249,14.4489,,,3.6,,0.000646045,0.015298079000000001,0.6176,,,215.0,M-0789
33,2016-10-12,,22.7109,,,3.51,,0.002278674,0.049595941,2.0998,,,,M-0827
34,2016-10-12,,20.6172,,,3.77,,0.005530799,0.069037009,1.9573,,,,M-0827
35,2016-10-12,,21.9165,,,3.89,,0.005386752,0.06498283599999999,2.2102,,,,M-0827
36,2016-10-12,,20.8374,,,3.9,,0.018504903,0.211965331,2.2421,,,,M-0827
